CODE,NAME,DESCRIPTION,MEMBER_ID,DOMAIN_ID,MAINTENANCE_AGENCY_ID,LDM_ENTITY_CODE,LDM_ENTITY_NAME,LDM_LINKED_ENTITIES,
6,OTC Total return swap,OTC Total return swap,TYP_INSTRMNT_6,TYP_INSTRMNT,ECB,,,
670,Other financial liabilities,Other financial liabilities,TYP_INSTRMNT_670,TYP_INSTRMNT,ECB,,,
7,OTC Credit default swap,OTC Credit default swap,TYP_INSTRMNT_7,TYP_INSTRMNT,ECB,,,
71,Trade receivables,Trade receivables as defined in paragraph 5.41(c) of part 2 of Annex V to Implementing Regulation (EU) No 680/2014.,TYP_INSTRMNT_71,TYP_INSTRMNT,ECB,,,
8,Other OTC Swap,Other OTC Swap,TYP_INSTRMNT_8,TYP_INSTRMNT,ECB,,,
80,Finance leases,Financial leases as defined in paragraphs 5.134 to 5.135 of Annex A to Regulation (EU) No 549/2013.,TYP_INSTRMNT_80,TYP_INSTRMNT,ECB,,,
9,OTC Credit spread option,OTC Credit spread option,TYP_INSTRMNT_9,TYP_INSTRMNT,ECB,,,
910,Loan commitments given,Loan commitments given,TYP_INSTRMNT_910,TYP_INSTRMNT,ECB,,,
920,Financial guarantees given,Financial guarantees given,TYP_INSTRMNT_920,TYP_INSTRMNT,ECB,,,
930,Other commitments given,Other commitments given,TYP_INSTRMNT_930,TYP_INSTRMNT,ECB,,,
949,Off-balance sheet exposures subject to credit risk,Off-balance sheet exposures subject to credit risk,TYP_INSTRMNT_949,TYP_INSTRMNT,ECB,,,
950,Loan commitments received,Loan commitments received,TYP_INSTRMNT_950,TYP_INSTRMNT,ECB,,,
960,Financial guarantees received,Financial guarantees received,TYP_INSTRMNT_960,TYP_INSTRMNT,ECB,,,
969,"Loan commitments received, Financial guarantees received, Other commitments received","Loan commitments received, Financial guarantees received, Other commitments received",TYP_INSTRMNT_969,TYP_INSTRMNT,ECB,,,
970,Other commitments received,Other commitments received,TYP_INSTRMNT_970,TYP_INSTRMNT,ECB,,,
