COMBINATION_ID,VARIABLE_ID,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,MEMBER_HIERARCHY
151498_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151498_REF,TYP_HDG,,,TYP_HDG_1,
151484_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151484_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151484_REF,TYP_RSK,,,TYP_RSK_2,
151484_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151484_REF,TYP_HDG,,,TYP_HDG_1,
151475_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151475_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151475_REF,TYP_RSK,,,TYP_RSK_2,
151475_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151475_REF,TYP_HDG,,,TYP_HDG_1,
151500_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151500_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151500_REF,TYP_RSK,,,TYP_RSK_3,
151500_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151500_REF,TYP_HDG,,,TYP_HDG_1,
151487_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151487_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151487_REF,TYP_RSK,,,TYP_RSK_3,
151487_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151487_REF,TYP_HDG,,,TYP_HDG_1,
151478_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151478_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151478_REF,TYP_RSK,,,TYP_RSK_3,
151478_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151478_REF,TYP_HDG,,,TYP_HDG_1,
151492_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151492_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151492_REF,TYP_RSK,,,TYP_RSK_4,
151492_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151492_REF,TYP_HDG,,,TYP_HDG_1,
151466_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151466_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151466_REF,TYP_RSK,,,TYP_RSK_4,
151466_REF,TYP_HDG,,,TYP_HDG_1,
151469_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151469_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151469_REF,TYP_RSK,,,TYP_RSK_4,
151469_REF,TYP_HDG,,,TYP_HDG_1,
151463_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151463_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151463_REF,TYP_RSK,,,TYP_RSK_4,
151463_REF,TYP_HDG,,,TYP_HDG_1,
151490_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151490_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151490_REF,TYP_RSK,,,TYP_RSK_4,
151490_REF,TYP_HDG,,,TYP_HDG_1,
151496_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151496_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151496_REF,TYP_RSK,,,TYP_RSK_5,
151496_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151496_REF,TYP_HDG,,,TYP_HDG_1,
151502_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151502_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151502_REF,TYP_RSK,,,TYP_RSK_6,
151502_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151502_REF,TYP_HDG,,,TYP_HDG_1,
151504_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151504_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151504_REF,TYP_RSK,,,TYP_RSK_-1,
151504_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151504_REF,TYP_HDG,,,TYP_HDG_1,
151495_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151495_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151495_REF,TYP_RSK,,,TYP_RSK_1,
151495_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151495_REF,TYP_HDG,,,TYP_HDG_2,
151482_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151482_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151482_REF,TYP_RSK,,,TYP_RSK_1,
151482_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151482_REF,TYP_HDG,,,TYP_HDG_2,
151473_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151473_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151473_REF,TYP_RSK,,,TYP_RSK_1,
151473_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151473_REF,TYP_HDG,,,TYP_HDG_2,
151499_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151499_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151499_REF,TYP_RSK,,,TYP_RSK_2,
151499_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151499_REF,TYP_HDG,,,TYP_HDG_2,
151485_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151485_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151485_REF,TYP_RSK,,,TYP_RSK_2,
151485_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151485_REF,TYP_HDG,,,TYP_HDG_2,
151476_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151476_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151476_REF,TYP_RSK,,,TYP_RSK_2,
151476_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151476_REF,TYP_HDG,,,TYP_HDG_2,
151501_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151501_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151501_REF,TYP_RSK,,,TYP_RSK_3,
151501_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151501_REF,TYP_HDG,,,TYP_HDG_2,
151488_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151488_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151488_REF,TYP_RSK,,,TYP_RSK_3,
151488_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151488_REF,TYP_HDG,,,TYP_HDG_2,
151479_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151479_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151479_REF,TYP_RSK,,,TYP_RSK_3,
151479_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_390,
151479_REF,TYP_HDG,,,TYP_HDG_2,
151493_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151493_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151493_REF,TYP_RSK,,,TYP_RSK_4,
151493_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151493_REF,TYP_HDG,,,TYP_HDG_2,
151467_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151467_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151467_REF,TYP_RSK,,,TYP_RSK_4,
151467_REF,TYP_HDG,,,TYP_HDG_2,
151470_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151470_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151470_REF,TYP_RSK,,,TYP_RSK_4,
151470_REF,TYP_HDG,,,TYP_HDG_2,
151464_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151464_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151464_REF,TYP_RSK,,,TYP_RSK_4,
151464_REF,TYP_HDG,,,TYP_HDG_2,
151491_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151491_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151491_REF,TYP_RSK,,,TYP_RSK_4,
151491_REF,TYP_HDG,,,TYP_HDG_2,
151497_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151497_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151497_REF,TYP_RSK,,,TYP_RSK_5,
151497_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151497_REF,TYP_HDG,,,TYP_HDG_2,
151503_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151503_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151503_REF,TYP_RSK,,,TYP_RSK_6,
151503_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151503_REF,TYP_HDG,,,TYP_HDG_2,
151505_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151505_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151505_REF,TYP_RSK,,,TYP_RSK_-1,
151505_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151505_REF,TYP_HDG,,,TYP_HDG_2,
151506_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151506_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151506_REF,TYP_RSK,,,TYP_RSK_-1,
151506_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151506_REF,TYP_HDG,,,TYP_HDG_3,
151507_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
151507_REF,INSTTTNL_SCTR,,,INSTTTNL_SCTR_-1,
151507_REF,TYP_RSK,,,TYP_RSK_-1,
151507_REF,TYP_INSTRMNT,,,TYP_INSTRMNT_310,
151507_REF,TYP_HDG,,,TYP_HDG_4,
151508_REF,HLD_SL_INDCTR,,,HLD_SL_INDCTR_2,
