CELL_ID,AXIS_ORDINATE_ID
2739824_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_230
2739825_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_022
2739825_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_240
2739826_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739826_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_010
2739827_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739827_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_020
2739828_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739828_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_030
2739829_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739829_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_040
2739830_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739830_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_050
2739831_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739831_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_060
2739832_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739832_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_070
2739833_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739833_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_080
2739834_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739834_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_090
2739835_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739835_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_100
2739836_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739836_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_110
2739837_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739837_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_120
2739838_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739838_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_130
2739839_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739839_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_140
2739840_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739840_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_150
2739841_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739841_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_160
2739842_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739842_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_170
2739843_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739843_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_180
2739844_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739844_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_190
2739845_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739845_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_200
2739846_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739846_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_210
2739847_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739847_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_220
2739848_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739848_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_230
2739849_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_1_025
2739849_REF,FINREP_REF_F_20_04_REF_FINREP 2_8_2_240
2739850_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739850_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_010
2739851_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739851_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
2739852_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739852_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_030
2739853_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739853_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_040
2739854_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739854_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
2739855_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739855_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
2739856_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739856_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_070
2739857_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739857_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_080
2739858_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739858_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_090
2739859_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739859_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_100
2739860_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739860_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_110
2739861_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739861_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_120
2739862_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_010
2739862_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_131
2739863_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739863_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_010
2739864_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739864_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
2739865_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739865_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_030
2739866_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739866_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_040
2739867_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739867_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
2739868_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739868_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
2739869_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739869_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_070
2739870_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739870_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_080
2739871_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739871_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_090
2739872_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739872_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_100
2739873_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739873_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_110
2739874_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739874_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_120
2739875_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_020
2739875_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_131
2739876_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739876_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_010
2739877_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739877_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_021
2739878_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739878_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_030
2739879_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739879_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_040
2739880_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739880_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_050
2739881_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739881_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_060
2739882_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739882_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_070
2739883_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739883_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_080
2739884_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739884_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_090
2739885_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739885_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_100
2739886_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739886_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_110
2739887_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739887_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_120
2739888_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_1_030
2739888_REF,FINREP_REF_F_30_02_REF_FINREP 2_8_2_131
